stop_id,parent_station,stop_name,route_type,name,geometry,lat,lon
800000375177,000000037618,"Niendorf am Schaalsee, Gut",3,Bus,"c(10.926626624354, 53.652389390055)",53.652389390055,10.926626624354
800000375178,000000037619,Bresahn,3,Bus,"c(10.917902011115, 53.630809520369)",53.630809520369,10.917902011115
800000375179,000000037620,"Dargow, Schaalseeweg",3,Bus,"c(10.882121621123, 53.64145147284)",53.64145147284,10.882121621123
800000375192,000000085161,"Mölln, Ratzeburger Straße/B207",3,Bus,"c(10.69739820497, 53.642408566705)",53.642408566705,10.69739820497
800000375194,000000037621,"Ratzeburg, Grundschule St.Georgsberg",3,Bus,"c(10.749851754333, 53.698112392821)",53.698112392821,10.749851754333
800000375197,000000091321,"Ratzeburg, Schmilauer Straße",3,Bus,"c(10.773787430225, 53.681450410268)",53.681450410268,10.773787430225
800000375198,000000037622,Farchau,3,Bus,"c(10.771119129868, 53.67485818785)",53.67485818785,10.771119129868
800000375199,000000037623,"Schmilau, Kirche",3,Bus,"c(10.757525631779, 53.664607758113)",53.664607758113,10.757525631779
800000375201,000000037625,Weißer Hirsch,3,Bus,"c(10.805245269285, 53.658910106114)",53.658910106114,10.805245269285
800000375202,000000094241,"Salem, Rehwinkel",3,Bus,"c(10.824331281639, 53.655268803007)",53.655268803007,10.824331281639
800000375203,000000037627,"Salem, Kirche",3,Bus,"c(10.82763662152, 53.656143943123)",53.656143943123,10.82763662152
800000375205,000000094251,"Kogel, Siedlung",3,Bus,"c(10.820962359593, 53.648706275729)",53.648706275729,10.820962359593
800000375206,000000037630,"Seedorf am Schaalsee, Dargower Weg",3,Bus,"c(10.860864799067, 53.621996183787)",53.621996183787,10.860864799067
800000375207,000000037631,Kogel,3,Bus,"c(10.814901669139, 53.638599020987)",53.638599020987,10.814901669139
800000375208,000000094252,"Sterley, Neue Welt",3,Bus,"c(10.829940189129, 53.637039979439)",53.637039979439,10.829940189129
800000375210,000000085574,"Sterley, Schule",3,Bus,"c(10.822759722616, 53.62060594108)",53.62060594108,10.822759722616
800000375213,000000037635,"Seedorf am Schaalsee, Bergstraße",3,Bus,"c(10.867872892562, 53.619478621318)",53.619478621318,10.867872892562
800000375215,000000037636,"Seedorf am Schaalsee, Badeanstalt",3,Bus,"c(10.876418902472, 53.618940475501)",53.618940475501,10.876418902472
800000375217,000000037637,"Seedorf am Schaalsee, Am Zuckerhut",3,Bus,"c(10.881013223819, 53.611796064343)",53.611796064343,10.881013223819
800000375219,000000037638,Groß Zecher,3,Bus,"c(10.90193802544, 53.603620030079)",53.603620030079,10.90193802544
